7966,OPEN,Document passing project from stdin,kind/feature,2020-12-02 20:31:12 +0000 UTC
7964,OPEN,Compose config with --no-interpolate fails as it tries to validate environment variables as ports,kind/bug,2020-12-02 11:50:02 +0000 UTC
7963,OPEN,commands within docker-compose block don't work with docker machine,kind/bug,2020-12-10 01:59:56 +0000 UTC
7958,OPEN,About networks on compose' ipam config,kind/question,2020-11-30 07:32:45 +0000 UTC
7957,OPEN,Node logs says can't find Password and keeps retrying every 15 sec.,kind/bug,2020-11-29 20:52:55 +0000 UTC
7955,OPEN,Environment variables with blank values are omitted,kind/bug,2021-01-05 00:13:02 +0000 UTC
7954,OPEN,the docker-compose arm based releases are missing,kind/feature,2020-11-27 08:06:26 +0000 UTC
7948,OPEN,String interpolation with `-e X=Y`,kind/bug,2020-12-02 09:42:25 +0000 UTC
7942,OPEN,How to run some commands/scripts when stopping docker-compose,kind/feature,2020-11-26 16:50:36 +0000 UTC
7941,OPEN,QinQ support,kind/feature,2020-11-30 16:05:21 +0000 UTC
7936,OPEN,Scope limit secrets. Allow some secrets to be available on build time,kind/feature,2020-12-18 17:56:22 +0000 UTC
7934,OPEN,Intermittent compose command failures with compose cli 1.0.2,kind/bug,2020-11-19 17:41:29 +0000 UTC
7933,OPEN,"The image for the service you're trying to recreate has been removed",,2020-11-17 18:02:01 +0000 UTC
7932,OPEN,Docker-compose log streaming crash when containers stops or restarts,kind/bug,2020-11-27 01:22:24 +0000 UTC
7925,OPEN,Ports Published Dynamically via Range or {{.Task.Slot}},kind/feature,2020-11-12 15:47:15 +0000 UTC
7924,OPEN,docker login fails on different containers,kind/bug,2020-11-12 11:47:34 +0000 UTC
7923,OPEN,Cross-container file truncation when using nested bind mounts,kind/bug,2020-11-11 22:53:58 +0000 UTC
7922,OPEN,docker-compose build fails in rootless environment,kind/bug,2021-01-11 02:04:59 +0000 UTC
7920,OPEN,Wrong image name breaks docker-compose build,kind/bug,2020-12-12 11:29:36 +0000 UTC
7918,OPEN,docker-compose config breaks when not interpolating environment variables,kind/bug,2020-11-10 14:28:07 +0000 UTC
7916,OPEN,Extend service with `depends_on` should work,kind/feature,2020-11-09 12:56:31 +0000 UTC
7915,OPEN,compose raises exception when it can't connect to docker socket,kind/bug,2020-11-17 02:31:46 +0000 UTC
7914,OPEN,Composition as an operating hub,kind/feature,2020-11-06 16:14:07 +0000 UTC
7913,OPEN,Failed to run a self-build docker container using docker-compose?,kind/question,2020-11-06 00:32:06 +0000 UTC
7912,OPEN,docker-compose running inside a container on Fedora CoreOS cannot access filesystem or docker socket,kind/bug,2020-11-11 19:44:24 +0000 UTC
7911,OPEN,Networking During Build Time?,kind/question,2020-11-06 16:21:26 +0000 UTC
7910,OPEN,Fails to build at network location,kind/bug,2020-11-05 14:06:26 +0000 UTC
7909,OPEN,Docker-compose crash if service mount device with colon in path,kind/bug,2020-11-04 22:00:41 +0000 UTC
7908,OPEN,Cannot override the specified file on volumes,kind/question,2020-11-24 02:48:07 +0000 UTC
7905,OPEN,docker-compose build and docker build lead to different IDs,kind/bug,2020-11-25 09:11:38 +0000 UTC
7904,OPEN,Cannot start service redis: OCI runtime create failed: container_linux.go:349: starting container process caused "process_linux.go:449: container init caused \"sethostname: invalid argument\,kind/question,2020-12-17 17:50:57 +0000 UTC
7900,OPEN,Windows Client, Linux Server, relative volume path regression,kind/bug,2021-01-15 18:32:15 +0000 UTC
7899,OPEN,docker-compose is unstable using Docker Desktop and WSL2,kind/bug,2021-02-15 12:47:32 +0000 UTC
7898,OPEN,The differents among the requirements the requirements*.txt.,kind/question,2020-10-29 01:19:42 +0000 UTC
7896,OPEN,Errors running up,kind/bug,2021-02-02 19:56:27 +0000 UTC
7894,OPEN,/etc/hosts not updated on restart,kind/bug,2020-10-27 21:34:07 +0000 UTC
7893,OPEN,Docker compose version 1.27.3 changed docker-compose config behavior,kind/bug,2021-01-08 14:33:16 +0000 UTC
7892,OPEN,Document/implement support for cache-to and cache-from parameters for docker buildx build,kind/feature,2020-10-27 12:35:32 +0000 UTC
7901,OPEN,Unnecessary warning that flag '--parallel' is ignored when building with COMPOSE_DOCKER_CLI_BUILD=1",,2020-11-02 17:59:36 +0000 UTC
7891,OPEN,Docs on docker/compose at Docker Hub is not up-to-date,kind/feature,2020-10-27 01:49:10 +0000 UTC
7886,OPEN,What happened with docker-compose bundle cli command ?!,kind/bug,2020-10-26 14:40:34 +0000 UTC
7885,OPEN,docker-compose down don't remove volumes,kind/bug,2020-10-28 12:39:03 +0000 UTC
7884,OPEN,Nested env var expansion doesn't work,kind/bug,2020-10-25 13:20:31 +0000 UTC
